word;file1
gwiazdy;1
muzyki;4
cud;1
oddalone;1
sznura;2
uå‚atwiä‡;2
przebaczcie;3
oddalona;2
bijä…cym;2
rajscy;1
weå‚nä™;1
ä‡wiartce;1
wyså‚anych;1
babkä…;1
odrzuconymi;1
dyktowaä‡;5
czyå„cie;1
firankä™;4
uchwyciä‡;1
mogliby;1
obdarty;2
wå›rã³d;28
karali;1
miesiä™czny;3
tortury;1
å‚acinie;1
wzgã³rzuâ€¦;1
zniknä…å‚;6
widziany;1
obdarte;1
miesiä™czne;17
mniejszym;1
dojdä™;1
pã³jdziecie;1
piã³rekâ€¦;1
picia;1
pogrubieli;1
zwå‚oki;1
piecyka;1
gadaå‚;1
å‚upinki;1
powrotem;3
å›wistali;1
osypaå‚;1
przedstawiä‡;2
wodzä…c;2
mã³wiä…cä…;2
musnä…å‚;1
dryblasã³w;1
wyå‚aåº;1
listä…;1
kramem;1
balkonã³w;1
przypomnä™;1
niepotrzebnego;1
promieniejä…;1
przejdåº;1
å¾egnaj;4
faggiani;1
otwierajä…cä…;1
â€å»eby;1
zrozpaczonä…;1
poczä™å‚a;4
å¾ebyå›cie;4
ujrzeä‡;3
ulewä…;2
wolnä…;2
gwiazda;1
pokazywaå‚;3
toå¾;1
tuliå‚;1
dotykaå‚;2
dziewczynce;1
chciaå‚eå›;1
zatrzymaå‚em;1
tornistrze;1
muzyka;8
å‚apkä™;1
kolanem;1
parostatku;3
swoich;39
wrã³å¾y;1
szymusia;2
zewnä…trz;4
czy;133
cukierkã³w;3
piä™å›ciami;8
â€dobranoc;1
czasã³w;3
mä™å¾ny;3
przystaå‚;2
siadå‚;8
tä™tentem;2
marniaå‚;1
batalionu;4
szczä™å›liwä…;2
przyglä…daå‚;1
bataliony;1
mä™å¾ne;1
przeraå¾onych;1
zrozumieä‡;5
otwartymi;7
czasu;47
merelliemu;1
skrawek;1
wycieczki;1
szeptaå‚;1
dalekiej;4
trzysta;1
nieokieå‚zanej;1
pobiegå‚em;5
udarowaå‚;1
gå‚adziå‚a;1
przelä™kå‚ych;1
wstajä…;1
tatuå›;2
pakieciki;1
bukietã³w;1
tå‚oczyå‚;1
aplauzem;1
niebywaå‚ä…;1
piemontczyka;1
pomieszanych;1
cã³rkä™;4
zadumanä…;1
czasy;1
obdarzy;1
trzystu;3
opuå›ciä‡;2
charakter;1
oså‚upieniem;1
å›piesznym;1
umrze;1
poå¾egnaniu;1
klapsa;1
wydå‚ubali;1
ogå‚uszeni;1
haftowanä…;1
bohater;2
lombardzku;1
pã³jdåº;17
mã³wiä™;6
spiesznie;2
myå›l;19
babkä™;3
argentyå„cã³w;1
najwiä™kszego;1
desperowaä‡;1
dochodziå‚a;1
poå¾egnania;1
uczeå„;5
hazardu;1
poå¾egnanie;2
cedzi;1
obroå„cã³w;2
odbite;1
bå‚ä™kitne;1
stronä™;18
brzydkä…;2
nagrodzonymi;1
dochodziå‚o;1
podejrzliwego;1
niegrzecznym;1
serdeczneâ€¦;1
narã³d;4
wyciå›nie;1
bettim;1
przybiegaå‚a;1
wracaå‚o;1
mã³rz;1
handlarz;5
odbity;1
odwrã³cisz;1
jasnä…;3
italio;1
mã³zg;1
nieprzytomne;2
dotykajä…c;1
wierzä™â€¦;1
wolna;26
wolne;1
daj;8
rzä™dach;1
cisnä…å‚;5
drobnostkä™;1
ciä™å¾kiâ€¦;1
dam;10
kajet;8
dar;1
wolno;3
woå‚ami;1
drobiazgã³w;1
graå‚a;2
listä™;1
zaprowadziå‚a;3
wolny;4
powtarzaj;1
dba;1
powrotnä…;1
swoimi;4
majä…tek;2
nieprzytomny;1
przyroda;1
powtarzam;1
wstä…å¾kä™;1
twarzä…;35
å›lubujä™;1
woå‚ano;2
podbiå‚;1
merelliego;1
runä™å‚a;1
zabawä…;1
ktã³regoå›my;2
strzä™pem;1
spotykaå‚;2
lombardzka;1
niespokojnoå›ä‡;1
przeleä‡;1
pochodu;1
tonä…ce;1
zimnymi;1
daå‚oby;2
bã³lem;2
przenosiå‚;1
å‚achmanach;1
mã³wi;35
przestrzeå„;5
bytnoå›ci;1
ksztaå‚tu;1
ksztaå‚ty;2
szpakowatä…;1
zwykå‚ej;2
odpowiedzialny;1
â€jutrzenka;1
przerywajä…c;2
przeraå¾enia;5
woå‚ali;6
kupowali;1
graå‚y;1
runä™å‚o;1
dzieckiem;9
okupiä‡;1
teatrze;4
på‚aszczyzna;1
szå‚y;3
wchodziä‡;1
frantiego;6
karawanem;1
bã³lu;5
galery;1
rä™koma;5
drzewach;1
på‚aszczyzny;2
szå‚o;9
wysilaä‡;1
palec;5
å‚atwä…;1
nadyma;1
zewszä…d;1
rã³wnie;6
rozproszonych;1
rykiem;3
â€cicho;2
trochä™;49
uspokojonym;1
poobwijany;1
pobudzaå‚o;1
rodzinnym;2
snuä‡;1
palba;1
niebieskä…;2
petardä™;1
rysã³w;1
sylwii;2
å›piewanie;1
åšliczny;1
å›piewania;1
niechcenia;1
sylwia;14
powydzielaå‚;1
zmyså‚ã³w;1
zobaczenia;3
kwadratowe;1
mroku;2
palca;1
bã³le;3
palce;9
niebiaå„skä…;1
å¾arciku;1
koå„czyå‚o;1
â€zakonnicyâ€;2
statku;4
å›miejä…cym;2
robisz;3
wszechmoc;1
mã³zgownicä™;1
pamiä™tali;1
koå„czyå‚a;2
wymyå›liå‚;1
pracujä…;4
grajä…cych;1
przenikliwy;1
przyjaåºniej;1
gå‚owyâ€¦;2
przyszå‚y;4
dzisiejsze;1
wiorstä™;1
przyszå‚o;12
zbliå¾ajä…ce;1
powyciä…gaå‚y;1
przyszå‚e;1
przyszå‚a;12
dzisiejszy;3
poå›piesznych;1
psã³w;1
pociä…gaå‚;1
oddalaä‡;1
gwoåºdziem;1
rozpisywaniem;1
okropnego;1
piä™ä‡dziesiä…t;6
frantiemu;1
odchodzi;1
å‚otrze;1
å‚udã³w;1
oglä…dania;1
robino;2
bacz;1
dla;146
murach;1
czä…stek;1
oddawaä‡;1
dziejã³w;1
rozpoczä…å‚;2
poprawä™;1
doktor;12
twardym;1
zdziwienia;3
nalegaå‚;3
przyniesie;2
szå‚a;8
przepychaå‚y;1
rozkosz;2
zmieniaå‚;1
nadszedå‚;3
rzä™dami;1
pieniä™dzy;11
wspomnä™;1
brygada;2
poczekalni;1
poczuå‚;2
spojrzeniaâ€¦;1
zioå‚a;1
å›miertelnej;2
murami;2
cienkim;3
poâ€¦;1
krzyczym;2
haå‚as;5
dni;43
popychaå‚;1
jarmarku;1
wolnomyå›lnie;1
dno;1
municypalnej;1
podziä™kowaå„;1
mã³dl;2
podziä™kowaå‚;2
å›piesznie;5
odjä…å‚;2
naszymi;4
oglä…da;3
abyå›;1
zaraz;158
dom;19
lampä™;1
daruj;1
porzuconymi;1
rzucanych;1
firankä…;2
siwiuteå„ki;1
uroczysty;1
samemu;1
czterdziestej;4
gwaå‚tã³w;1
profesorze;1
drä…å¾ki;1
pozostawiwszy;1
poczciwego;2
stron;13
szyjä™;18
przemoå¾enie;1
przywykå‚y;1
anglikami;1
nieszczä™å›nika;1
przepeå‚niony;1
wchodzä™;1
oszczä™dzajä…;1
zgorzaå‚ä…;1
stopnie;7
natknä™li;1
lecä…;2
znajdåºcie;3
zachä™ca;1
zå‚owrã³å¾bne;1
obchodzili;1
å›cisnä…wszy;3
rzeknä…;1
stopniu;1
myå›lå¾e;1
podskakujä…;1
biedakami;2
zapomnieä‡â€¦;1
broni;2
wschody;1
towarzysze;7
â€prawda;1
wideta;2
snycerza;1
musielibyå›my;1
zniecierpliwiony;1
sprowadza;1
snycerze;1
pracujä™;4
szeå›ä‡dziesiä…t;7
przechylonymi;1
woå‚ã³w;1
prezentowaå‚a;1
nieszczä™å›ciem;1
wiä™c;147
towarzysza;2
samotne;3
dokå‚adaå‚y;1
otrzymanych;1
wyszoruj;1
razami;1
å›miertelnie;4
aleâ€¦;3
przydroå¾u;1
napracowaä‡;1
otwartych;3
potknä…å‚;1
towarzyszy;3
towarzyszu;1
zmuszone;1
przerasta;1
zatoczyå‚;3
å›ledzä…c;1
przezywali;1
kawalerii;3
oparciu;1
wiktuaå‚ami;1
pajacykowi;1
kawaleria;1
silniej;5
pã³å‚;25
trumnie;2
kuåºni;10
niegdyå›;2
powodzeniu;1
zmuszony;1
paradzie;3
litoå›ci;7
dziedziå„czyk;1
przyciskaå‚;1
zejdziemy;1
samotny;1
zadumana;1
bibuå‚ä™;1
alpejska;1
drzewami;3
budynek;2
leå¾aå‚;10
opuszczam;1
przewaå¾nie;2
oficerowie;3
maja;1
robettim;1
mamo;14
naszych;10
stolarz;1
widniaå‚a;1
jakbym;8
szalupy;2
straganie;1
tygodniu;3
tysiä™cy;9
mä™skiej;1
objä…wszy;1
wieczornej;5
staliå›my;2
obå‚ä…kaä‡;1
zamiataä‡;1
mama;47
patrzajcieå¾;1
10;5
11;6
ciä…gnie;1
winä…;2
wå‚oskim;2
12;2
13;4
mali;6
14;3
powaå¾nie;1
16;3
17;4
18;4
tygodnia;1
19;1
zastaliå›my;2
dwa;60
najchä™tniej;1
szalupa;2
wå‚oskie;3
biskupi;1
bä…dåºå¾e;2
czasach;3
mala;1
tygodnie;1
å»al;3
20;4
21;3
dajcie;3
22;1
23;2
pazuchä™;1
24;5
skoå„czeniu;2
25;6
26;3
grupä™;1
27;4
28;8
29;5
szablä…;1
tonä…cä…;1
uså‚yszano;1
zbierali;1
przywiä…zany;1
szyjä…;2
å¾yjeâ€;1
dojrzaå‚ego;1
å¾yczliwy;3
å¾yjä…;7
31;1
stanä…å‚;18
twej;10
32;1
laponii;1
paznokcie;1
florencja;1
braå‚;5
rozczulajä…cy;1
å¾arliwie;2
florencji;1
mamy;22
florencjo;1
stan;2
dym;3
przelaå‚;1
mularzem;1
przejrzeä‡;1
zanieå›;2
takeå›my;2
kwadratowej;1
49;2
dzieciä™cego;1
mã³wiä…c;26
pajacyk;4
liczyå‚a;1
starego;8
minä…å‚;1
wyjå›ciach;1
jakiegoå›;18
kwiatã³w;18
dzo;3
zgryzå‚;1
zå‚oå¾yå‚o;1
å¾yjeâ€¦;1
niemal;5
kierunku;2
podpowiada;1
znajduje;3
gmachem;1
dyrektorowi;2
mapa;1
muszä…;5
stojä…cego;1
farbä…;1
66;3
67;1
wspiera;1
ucichå‚o;3
masz;32
masy;1
przewodnika;1
ciekå‚a;1
ekwilibryå›ci;1
porozrywanä…;1
spieszä™;1
ustawiä‡;1
interesy;2
å‚omotem;1
wspominaä‡;2
interesu;1
martwiä…;1
czå‚owieka;9
jedwabne;1
puszczy;1
swojej;40
kä…paä‡;1
schodkach;1
wychowaå‚;1
78;5
przybiegå‚;4
przybycia;1
raåºno;1
pobojowisko;1
stworzenia;1
szkoå‚ä™;9
ofiarä™;5
bojaåºni;1
waå‚ä™sajä…;1
murarz;5
poznaå‚a;1
przynosiå‚;2
czucie;2
ciskaå‚;1
stem;1
å‚agodnego;1
podyktuje;1
poniå¾a;1
pä™cherzyk;1
iznowu;1
zdrowaâ€¦;1
zwieszonä…;2
matczyna;1
zå‚ym;7
å‚ã³å¾ek;1
chciaå‚byå›;1
przybieraå‚o;1
zrozumiaå‚;11
bezsennych;1
miå‚uje;2
czå‚owieku;2
listopad;1
winä™;3
wstä…piå‚;1
maskä™;2
zgnieciona;1
wyså‚uchawszy;2
å‚achmanã³w;1
spoå‚ecznym;1
piekielny;2
donoå›ny;1
noå¾ykiem;1
statek;2
nazywa;14
przedrzeä‡;1
zagranicznych;1
szerokä…;1
pobå‚ogoså‚awiå‚;1
spotka;1
zmä…cone;1
å›piochu;1
okrä™towych;3
europy;1
szanujä™;3
åšmiaä‡;1
sycylijczyk;3
krewniakowi;1
krzyczeä‡;3
usuå„;1
gå‚owiny;1
tajemnicä™;1
wleåºä‡;1
kaplica;1
kwiat;2
fajkä™;2
skaleczonej;1
korki;1
stojä…cemu;1
â€tatusiaâ€;1
oczekiwaniuâ€¦;1
bawi;2
prostego;1
otuchy;6
uwierzenia;1
dmuchajä…c;2
ech;3
robaczki;1
paniczu;2
kaplicy;2
wskroå›;2
rokrocznie;1
supliki;1
triumfatora;1
panicze;1
gå‚ã³wkami;1
panicza;1
przejä™ty;2
martwi;4
przywiä…zani;1
spojrzä™;3
muszä™;12
sobie;159
twoi;3
pradawne;1
posuwaå‚;1
zaleå¾y;2
ujrzawszy;1
å»em;1
czterdziestym;1
przeå‚aj;1
tatusiowej;1
straconym;1
niemych;1
poszliå›my;12
zrazu;4
cyfrä™;1
rã³å¾owych;1
proå›;4
rozumieâ€¦;1
stoi;6
podsuwaå‚y;1
staremu;1
siedzä…cych;3
å‚ã³å¾ku;15
palermoâ€¦;1
nadziwiä‡;1
å‚ã³å¾ko;6
trzasnä…å‚;3
kaå¾demu;2
odzieniu;1
robotnikach;1
å‚ã³å¾ka;15
odzienie;1
szkoå‚ä…;10
artyleryjskich;1
brzuszyny;1
ostaå‚a;1
trele;1
skrzypieniem;1
â€szczä™å›liwcze;1
udaå‚o;7
prã³g;2
natä™å¾yå‚;1
wstawaå‚am;1
caå‚ä…;31
gorszych;1
robotnikami;1
opadajä…cymi;1
spisaå‚;2
zazdroå›ciå‚;2
grzmiaå‚o;1
wykrzywienia;1
nochesâ€¦;1
wenecjä™;1
grzmiaå‚y;1
piechotä…;1
srodze;2
mogå‚aby;1
podjazdu;2
odnosi;1
skarå¾yä‡;2
stos;1
padnij;1
wrzeszczä…c;1
myå›leä‡;4
udaå‚y;1
jarmark;1
så‚abä…;1
osiem;10
ocierajä…c;5
ciebieâ€¦;1
trzä™så‚o;2
bagnetom;1
atramentu;1
uczciwego;1
lekcewaå¾ä…cy;1
sä…siad;1
galopem;4
naigrawali;1
garibaldiego;2
zmä™czonym;1
trzä™så‚a;2
zdzielå¾e;1
przepraszamâ€â€¦;1
odå‚oå¾ywszy;1
prä™dko;22
spotkaå‚o;2
uspokoiå‚a;1
så‚uchajä…;1
kicha;1
å›niady;1
wyrzeka;1
budzä…;2
smutny;12
poå¾yjä™;1
najszczä™å›liwszych;1
piszczä…c;1
wspaniaå‚ä…;2
ocienionych;1
pochylonä…â€¦;1
spojrzeniem;5
chcä™;22
ksztaå‚cie;2
odpowiedzi;3
okå‚adki;2
piszczä…;1
pomacaå‚;1
przyjdziesz;2
podå‚ogi;1
uå›miech;5
daremnym;1
podå‚oga;1
prä™dka;1
obchodzi;3
kaå¾dego;13
namyå›laå‚;2
koå‚kã³w;1
zbiorowisko;1
zaczepiajä…;1
å›wiä™tem;1
futryny;1
podziä™kowaä‡;2
trzä™så‚y;1
posiadajä…;1
trawach;1
dowiedziawszy;2
posuwajä…;1
wrä™czywszy;2
pilnujä…ce;1
iå›ä‡â€¦;1
popatrzaå‚;2
pojadä™;1
dziä™kujä™;44
cyfrä…;1
przechyliå‚a;1
spä™dziå‚em;1
smuä‡;1
kubkami;1
nieprzyjacielskich;1
opowieå›ä‡;1
patrzä…cy;2
chã³ralnego;1
moimi;3
å›wist;4
lepszä…;1
moå¾noå›ä‡;1
wyprawiali;1
naznoszä…;1
nakå‚adå‚;1
å¾aå‚oå›ä‡;2
odrä™;1
wypisano;1
dworki;1
wytrwanie;1
kartä™;1
pulpit;1
strumieniach;1
manierkä™;1
znajomego;1
patrzä…ce;1
prowadzili;1
zmazaä‡;1
zarzucä…;1
kwestora;1
umilkå‚;2
przechodzi;4
ä‡wiartkä™;3
ksiä…å¾eczkä™;1
å‚aå„cuszek;2
przeciä…gnä™å‚a;1
przekupnia;2
mä™å¾czyzn;3
pospolitä…;1
tamtejszych;1
odwoå‚aå‚;1
wzglä™du;1
upadajä…cej;1
forti;1
tkliwoå›ci;2
gwaå‚townä…;1
gã³rä™;7
nazwisk;3
zjednoczenia;1
puå›cili;2
bå‚ogoå›ci;1
å›witu;2
uczciä‡;2
garå›ciä…;2
poträ…ciå‚eå›;1
bohaterã³w;1
chcä…;3
synowskiej;1
celu;1
czuå‚a;1
gniew;2
triumfu;2
pewnie;2
ukarzä™;1
rã³å¾owe;2
chowa;4
dziwacznymi;1
mä™å¾ã³w;1
rã³å¾owo;1
draperiami;1
podtrzymujä…c;2
uwiä…zanä…;1
uwaå¾a;2
tektury;1
wariaci;1
porucznika;2
publicznoå›ä‡;6
opuå›ciå‚;1
krajem;1
å›wieå¾oå›ä‡;1
najuwaå¾niej;1
ktã³ry;252
czepiajä…c;1
przerwaå‚;9
wyprowadzono;1
zaufa;1
grupy;2
på‚aczä…cej;1
rozpaczliwä…;2
gdzieâ€¦;1
malarz;2
poså‚aä‡;3
srebrzystych;1
kupujä…cych;2
obyci;1
åšniadzi;1
papierowe;2
wiã³ry;1
impetem;1
lekkoâ€¦;1
konwã³j;1
karabinu;1
papierowy;1
urzä™dnicy;1
fantazjä…;1
nocna;1
grupa;1
pochodzä™;1
å¾ywoå›ciä…;1
zbryzgane;1
poå›wiä™cenia;2
sklepu;13
wå‚asnä…;2
poå›wiä™cenie;2
dworcu;1
podszedå‚;8
przychodzä…â€¦;1
pewnej;2
chory;32
amelka;1
naszä…;4
nauczycielowi;10
pamiä™tam;12
pozostawali;1
mruczek;1
ubielonä…;1
formy;1
pamiä™taj;15
baretti;2
chorowaå‚;1
podrä™czniki;1
tchã³rz;3
chore;1
muå‚;1
chora;13
loå¾ä™;1
â€kordowaâ€;1
poprzedzany;1
zaå›wieciå‚y;1
byå›cie;3
operacji;2
omdlenia;1
zbliå¾ajä…cej;1
konsula;4
operacja;2
gruchotaå‚;1
jarzynami;2
caottim;1
buchaå‚y;1
rozumiejä…;1
kwitnä…cä…;1
stardim;1
då‚ugiego;3
biaå‚o;4
chirurg;1
â€otom;1
biaå‚y;4
wleci;1
biaå‚a;2
topniejä…ce;1
wyprostowaå‚;2
przychodzi;14
naraziå‚by;1
zmazä™;1
zauwaå¾yå‚em;2
upå‚ywie;1
miastu;1
porwali;1
biaå‚e;21
miasto;10
podawaä‡;1
coå›my;3
miasta;21
lampä…;1
wprawiaå‚y;1
odprowadzajä…;1
ustami;2
uå›ciskali;1
jesteå›my;3
sprzed;1
smugä™;1
strach;4
straci;2
naukom;1
piå›mie;1
umiaå‚eå›;1
å¾oå‚nierz;4
cieszmy;1
uwagä…;1
nadbiegli;2
tamburynã³w;1
czubku;1
zajmowaå‚;1
pochylonymi;2
rozchodzä…cy;1
grad;3
miaå‚kiego;1
wtã³re;1
zapamiä™tale;1
så‚owie;1
pilnowaå‚;2
nogä™â€¦â€;1
wymã³wiå‚yby;1
modlitwy;5
daremnie;3
jedenasty;1
obciä™tych;1
usiå‚owaå‚;2
zakaå‚ä™;1
padaå‚y;1
tå‚ukli;1
zdumiony;9
obietnicä…;1
smutek;3
trä…ciå‚a;1
najeå¾då¾a;1
koå„;2
ujrzaå‚em;1
bojem;1
odrywaå‚;1
skoå„czysz;2
zaszemrali;1
zdobyli;1
wioså‚a;1
åšwiä™ta;1
stracä…;1
cisnä™li;3
obwarzanki;1
pomyå›lna;1
å›licz;1
pieczä…tkami;1
onieå›mieleni;1
zachorowaä‡;1
zbladå‚;4
kamiennä…;1
åšwiä™to;2
rã³å¾nicy;1
sprä™å¾yny;1
niedzielnej;1
prawä…;5
bå‚yå›nie;1
julek;12
zaczynaå‚;3
å›wiat;14
bladego;1
imbrykiem;1
zginä™å‚o;1
musiaå‚y;2
huku;1
brä…z;1
okres;1
doczekam;1
obrã³ci;1
widzä…c;17
instrumenty;1
wchodzä…c;3
bå‚ogoså‚awiä‡;2
fal;1
gã³rska;1
zbudziå‚;4
ulbrich;1
å›wiec;1
naumyå›lnie;3
musiaå‚o;1
sparaliå¾owana;1
drogocenne;1
czworga;1
pytaå„;3
zmieszany;9
pä™kaå‚a;1
pytaå‚;2
plac;7
niesprawiedliwoå›ä‡â€;1
zabolaå‚y;1
wysiå‚kã³w;4
czubek;5
umiera;3
czekaå‚;10
suma;1
pewnym;1
ciska;1
arabii;1
kawalerzyå›ci;1
pochylonych;1
pä™kaå‚o;1
pamiä™tasz;2
podwoiä‡;1
å›wiä™tym;4
å¾yå‚ach;4
podbiegli;1
powierzaä‡;1
uwagä™;1
boleå›ä‡;8
najdroå¾szym;1
pomaraå„czâ€¦;1
musiaå‚a;3
przebiegaå‚;2
podå‚uå¾ne;1
powodzeniem;1
ciebieâ€;1
smutne;9
zahaczyå‚;1
lã³d;1
smutno;7
å›wieå¾ym;2
chieriâ€¦;1
francuskiej;1
å›ciany;8
uporczywy;1
zarzä…dzaå‚;1
moich;14
smutna;6
awantur;1
julka;3
å›piä…;1
farbiarzem;1
panowie;14
pamiä™ä‡;6
powskakiwali;1
julku;5
milczeniu;17
trzyâ€¦;1
å‚okieä‡;1
zabiå‚by;1
kã³å‚;2
zobaczyå‚em;11
sumy;1
milczenie;2
milczenia;4
zdobywa;1
przestali;2
så‚ychaä‡;14
porä™cz;1
hura;1
rozumie;7
wymytä…;1
oczekiwaniem;1
smutku;5
apteki;1
opadajä…cych;1
koniugacjami;1
wã³z;15
uporczywe;1
zwierzä™cia;1
przytrafiaå‚o;1
smutki;2
siadå‚em;2
przyså‚owie;1
szeå›ä‡;11
komenderowaå‚;1
osadä™;1
â€ach;4
zachmurzyå‚;1
å›wiä…tecznie;1
ktã³rä…;26
szept;2
så‚upã³w;1
badawczym;1
wã³d;2
å›ciskajä…c;7
marzå‚a;1
å¾oå‚nierzaâ€¦;1
så‚yszy;7
niezå‚omnej;1
obchodzie;1
jã³zefo;1
å¾aglowej;1
zadziwiajä…cych;1
proszä™;19
genua;1
opowiesz;1
teatru;6
nazwa;1
å›wiecami;2
cierpliwie;2
dokoå„czyå‚;1
gdzieå¾eå›;1
adiutanta;1
galerii;4
jakbyå›my;2
mieliå›my;1
ramionami;3
teatr;9
galeria;1
panie;64
wzmã³gå‚;3
aj;1
popatrzeä‡;3
å»egnam;4
å»egnaj;9
rachujä…c;2
wå‚osy;25
an;1
piä™å›ciach;1
ziem;2
zaledwieå›my;2
genuo;2
budzony;1
czynie;1
chryste;1
powadze;1
â€consolataâ€;1
wå‚osi;4
wiä™åºniach;1
czä™å›ä‡;9
genui;15
rozå‚ä…czamy;1
kowalczyka;1
zatrzymaå‚a;3
gromem;1
pomiarkowaä‡;1
bo;205
kilkoma;2
latarniä™;1
francuskich;1
pozwalam;1
by;55
zatrzymaå‚o;1
uå¾ytecznym;1
